BAIRRO,CASOS,LAT,LON
Velha,3075,-26.923617,-49.101608
Fortaleza,2362,-26.873018, -49.070553
Itoupava Central,4228,-26.797190, -49.090327 
Água Verde,2795,-26.908771, -49.121999
Itoupavazinha,2749,-26.855009, -49.107262
Velha Central,2740,-26.928500, -49.126597
Progresso,2489,-26.986772, -49.081156
Itoupava Norte,2329,-26.879520, -49.078543
Garcia,2266,-26.940890, -49.065634
Escola Agrícola,2090,-26.891908, -49.098383
Vila Nova,1804,-26.905018, -49.089062
Ponta Aguda,1371,-26.900168, -49.050597
Tribess,1348,-26.874881, -49.051513
Passo Manso,1222,-26.910116, -49.151134
Salto do Norte,1199,-26.870831, -49.108442
Victor Konder,1142,-26.908133, -49.074105
Badenfurt,1108,-26.882522, -49.141606
Itoupava Seca,1102,-26.893234, -49.084333
Centro,981,-26.916759, -49.069174
Testo Salto,928,-26.852994, -49.153541
Glória,901,-26.965279, -49.060265
Jardim Blumenau,847,-26.928905, -49.063983
Valparaíso,854,-26.953886, -49.075349
Fortaleza Alta,779,-26.853092, -49.056195
Salto Weissbach,756,-26.896293, -49.132818
Vorstadt,747,-26.904152, -49.038504
Fidélis,723,-26.835713, -49.066687
Salto,661,-26.885177, -49.106332
Velha Grande,625,-26.949519, -49.132409
Vila Itoupava,552,-26.728398, -49.067116
Nova esperança,524,-26.890088, -49.056901
Boa Vista,218, -26.899149, -49.065782
Bom Retiro,157,-26.925537, -49.075146
Vila Formosa,106,-26.936509, -49.072601
